"Name" "Date" "Latitude" "Longitude" "Date_Sampling" "Ice_Op" "Ice_Cl" "Ice_Dur" "Ice" "Temperature_MODIS (8D)" "PAR (8D)" "Euphotic layer (8D)" "KD490_Morel (8D)" "KD490_Lee (8D)" "Chlorophyll (8D)" "POC (8D)" "PIC (8D)" "PP (1D)" "BBP (8D)" "CDM (8D)" "TSM (8D)" "Northward_wind (v,1D)" "Eastward_wind (u,1D)" "Surface_downward_northward_stress (v,1D)" "Surface_downward_eastward_stress (u,1D)"
"TARA_068" "2010-01-01" "-31.0389" "4.6197" "2010-09-12" NA NA NA NA "21.3351235" "57.1546154022217" "97.7590370178223" "0.031464446336031" "0.0458776876330376" "0.065853126347065" "31.1871385574341" "0.000213382751098834" NA "0.00167410069843754" "0.00716155953705311" "0.0390643142163754" "1.285" "-3.8625" "0.00995" "-0.0259"
"TARA_068" "2010-01-02" "-31.0389" "4.6197" "2010-09-12" NA NA NA NA "21.3351235" "57.1546154022217" "97.7590370178223" "0.031464446336031" "0.0458776876330376" "0.065853126347065" "31.1871385574341" "0.000213382751098834" NA "0.00167410069843754" "0.00716155953705311" "0.0390643142163754" "2.67" "-0.0275" "0.022775" "-0.0014"
"TARA_068" "2010-01-03" "-31.0389" "4.6197" "2010-09-12" NA NA NA NA "21.3351235" "57.1546154022217" "97.7590370178223" "0.031464446336031" "0.0458776876330376" "0.065853126347065" "31.1871385574341" "0.000213382751098834" NA "0.00167410069843754" "0.00716155953705311" "0.0390643142163754" "2.79" "-3.3475" "0.034575" "-0.04085"
"TARA_068" "2010-01-04" "-31.0389" "4.6197" "2010-09-12" NA NA NA NA "21.3351235" "57.1546154022217" "97.7590370178223" "0.031464446336031" "0.0458776876330376" "0.065853126347065" "31.1871385574341" "0.000213382751098834" NA "0.00167410069843754" "0.00716155953705311" "0.0390643142163754" "-2.53" "-3.4775" "-0.01845" "-0.02555"
"TARA_068" "2010-01-05" "-31.0389" "4.6197" "2010-09-12" NA NA NA NA "21.3351235" "57.1546154022217" "97.7590370178223" "0.031464446336031" "0.0458776876330376" "0.065853126347065" "31.1871385574341" "0.000213382751098834" NA "0.00167410069843754" "0.00716155953705311" "0.0390643142163754" "-3.325" "3.935" "-0.03345" "0.0508"
"TARA_068" "2010-01-06" "-31.0389" "4.6197" "2010-09-12" NA NA NA NA "21.3351235" "57.1546154022217" "97.7590370178223" "0.031464446336031" "0.0458776876330376" "0.065853126347065" "31.1871385574341" "0.000213382751098834" NA "0.00167410069843754" "0.00716155953705311" "0.0390643142163754" "4.88" "-2.4175" "0.0519" "-0.0256"
"TARA_068" "2010-01-07" "-31.0389" "4.6197" "2010-09-12" NA NA NA NA "21.3351235" "57.1546154022217" "97.7590370178223" "0.031464446336031" "0.0458776876330376" "0.065853126347065" "31.1871385574341" "0.000213382751098834" NA "0.00167410069843754" "0.00716155953705311" "0.0390643142163754" "3.89" "-4.0025" "0.03585" "-0.03585"
"TARA_068" "2010-01-08" "-31.0389" "4.6197" "2010-09-12" NA NA NA NA "21.3351235" "57.1546154022217" "97.7590370178223" "0.031464446336031" "0.0458776876330376" "0.065853126347065" "31.1871385574341" "0.000213382751098834" NA "0.00167410069843754" "0.00716155953705311" "0.0390643142163754" "2.72" "-2.7225" "0.029925" "-0.0241"
"TARA_068" "2010-01-09" "-31.0389" "4.6197" "2010-09-12" NA NA NA NA "21.75797425" "53.5809688568115" "98.181282043457" "0.0313216671347618" "0.0465543828904629" "0.0646639987826347" "31.8353672027588" "0.00019824257469736" NA "0.0015088994987309" "0.00711866281926632" "0.0420706868171692" "1.09" "2.8575" "0.007875" "0.0185"
"TARA_068" "2010-01-10" "-31.0389" "4.6197" "2010-09-12" NA NA NA NA "21.75797425" "53.5809688568115" "98.181282043457" "0.0313216671347618" "0.0465543828904629" "0.0646639987826347" "31.8353672027588" "0.00019824257469736" NA "0.0015088994987309" "0.00711866281926632" "0.0420706868171692" "3.43" "0.7025" "0.057875" "0.0178"
